Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-11-02,"Warm-Up Boulder Arete (Stand)",V2-,,https://www.mountainproject.com/route/107035409/warm-up-boulder-arete-stand,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > First Set Boulders > Warm Up Boulder",2.3,3,Send,,Boulder,,,20170
2024-11-02,"Teen Spirit",V1,,https://www.mountainproject.com/route/107035327/teen-spirit,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > First Set Boulders > Warm Up Boulder",2.3,4,Send,,Boulder,,,20100
2024-11-02,Schwang,V0,,https://www.mountainproject.com/route/107035332/schwang,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > First Set Boulders > Warm Up Boulder",2.0,-1,Send,,Boulder,,,20008
2024-11-02,Blang,V0,,https://www.mountainproject.com/route/117534608/blang,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > First Set Boulders > Warm Up Boulder",1.5,-1,Send,,Boulder,,,20008
2024-11-02,"Warm-up Traverse",V0+,"So many moves, I&#39;m just a poor boulderer.",https://www.mountainproject.com/route/117949438/warm-up-traverse,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > First Set Boulders > Warm Up Boulder",1.7,-1,Flash,,Boulder,,,20010
2024-11-02,"Bend It",V3,"Top out crux. Sit is similar difficulty, worth it for full value. Amazing climb on a beautiful rock.",https://www.mountainproject.com/route/120456316/bend-it,1,"West Virginia > Northern WV > Coopers Rock State Forest > Furnace Road Areas > Greenbrier Boulders > Bendable Boulder",3.8,4,Send,,Boulder,,,20300
2024-11-02,"Colorful Corner",V4,"Need to stand up into the crux hold as moving arm.",https://www.mountainproject.com/route/112802780/colorful-corner,1,"West Virginia > Northern WV > Coopers Rock State Forest > Upper Rock City > Romulus and Remus Area",3.7,-1,Send,,Boulder,,,20400
2024-10-20,"The Axe Head","V1 PG13",,https://www.mountainproject.com/route/124092674/the-axe-head,2,"West Virginia > Northern WV > Coopers Rock State Forest > Rattlesnake Trail Boulders > Axe Head Area > Axe Head Boulder",4.0,4,Flash,,Boulder,,,20100
2024-10-12,"Hueco Wall",V5-6,"Right foot and hard left foot backflag for left hand move to right side of dish. left heel on start hold to second dish. Then walk feet right to right foot in start hold to finish.",https://www.mountainproject.com/route/105792944/hueco-wall,1,"California > San Francisco Bay Area > South Bay Area > Castle Rock Area > * Castle Rock Area Bouldering > Castle Rock Loop > Magoos > Dog Dish Boulders",3.2,-1,Attempt,,Boulder,,12,20550
2024-10-12,"Mrs. Magoo Traverse",V3-4,"All the moves done, just gassing out before the move into Ms. Magoo",https://www.mountainproject.com/route/110756625/mrs-magoo-traverse,1,"California > San Francisco Bay Area > South Bay Area > Castle Rock Area > * Castle Rock Area Bouldering > Castle Rock Loop > Magoos > Mrs Magoo Boulder",2.9,-1,Attempt,,Boulder,,,20350
2024-10-12,"Mrs. Magoo",V2,,https://www.mountainproject.com/route/109559101/mrs-magoo,1,"California > San Francisco Bay Area > South Bay Area > Castle Rock Area > * Castle Rock Area Bouldering > Castle Rock Loop > Magoos > Mrs Magoo Boulder",2.7,-1,Flash,,Boulder,,10,20200
2024-10-12,"Mr Magoo",V1-2,,https://www.mountainproject.com/route/105735659/mr-magoo,1,"California > San Francisco Bay Area > South Bay Area > Castle Rock Area > * Castle Rock Area Bouldering > Castle Rock Loop > Magoos > Mr Magoo Boulder",2.6,-1,Send,,Boulder,,10,20150
2024-10-12,"Warm Up",V0,,https://www.mountainproject.com/route/105735650/warm-up,1,"California > San Francisco Bay Area > South Bay Area > Castle Rock Area > * Castle Rock Area Bouldering > Castle Rock Loop > Magoos > Mr Magoo Boulder",2.2,-1,Flash,,Boulder,,,20008
2024-10-12,Unnamed,V1,,https://www.mountainproject.com/route/105735644/unnamed,1,"California > San Francisco Bay Area > South Bay Area > Castle Rock Area > * Castle Rock Area Bouldering > Castle Rock Loop > Magoos > Mr Magoo Boulder",2.4,-1,Send,,Boulder,,,20100
2024-09-02,"Tombstone Arete",V4,"Some wacky knee beta at the top. Very tricky climb with lots of options",https://www.mountainproject.com/route/112794969/tombstone-arete,1,"West Virginia > Northern WV > Coopers Rock State Forest > Tilted Tree > Fiddle Area > Fiddle Rock",3.5,-1,Send,,Boulder,,,20400
2024-09-02,"Down in a Hole",V6,"Big move right from the hueco requires a lot of power, but takes a lot of skin if you pull off. Put in left heel on right side of hueco and flag right foot right to get left hand to jug on left. Establish right foot before moving right hand.",https://www.mountainproject.com/route/119899421/down-in-a-hole,1,"West Virginia > Northern WV > Coopers Rock State Forest > Furnace Road Areas > Furnace Trail Boulders > The Grunge Boulder",3.4,-1,Attempt,,Boulder,,,20600
2024-09-02,Duroc,V4,"3 different variations. 1 variation requires a lot of muscle to stand up into big block undercling on edge of roof. Other variations are more balancy and feel much easier than the grade",https://www.mountainproject.com/route/119899604/duroc,3,"West Virginia > Northern WV > Coopers Rock State Forest > Furnace Road Areas > Furnace Trail Boulders > Pig Iron Boulder",3.0,-1,Send,,Boulder,,,20400
2024-09-02,"Big Man on Campus",V6,"Heel move to pull the face is pretty fun. Get far left jug foot for smooth finish",https://www.mountainproject.com/route/124332454/big-man-on-campus,1,"West Virginia > Northern WV > Coopers Rock State Forest > Furnace Road Areas > Wonderland Ridge > Limelight Area > Heels Boulder",4.0,4,Flash,,Boulder,,,20600
2024-09-02,"Gym to Crag",V2-3,"Be careful with the mono, easy to tweak the finger",https://www.mountainproject.com/route/126758604/gym-to-crag,1,"West Virginia > Northern WV > Coopers Rock State Forest > Furnace Road Areas > Wonderland Ridge > Limelight Area > Heels Boulder",2.3,2,Send,,Boulder,V3,,20250
2024-09-02,"Caught in a Quagmire",V3,"Tricky, but super cool movements and unique holds for the forest ",https://www.mountainproject.com/route/126751026/caught-in-a-quagmire,1,"West Virginia > Northern WV > Coopers Rock State Forest > Furnace Road Areas > Wonderland Ridge > Limelight Area > Quagmire Boulder",3.0,-1,Send,,Boulder,,,20300
2024-09-02,"Sous Vide",V4,,https://www.mountainproject.com/route/126751004/sous-vide,1,"West Virginia > Northern WV > Coopers Rock State Forest > Furnace Road Areas > Wonderland Ridge > Limelight Area > Sous Vide Boulder",3.0,3,Flash,,Boulder,V3+,,20400
2024-08-24,Springer,5.10b,"Totally do-able, 2-3 nice rest ledges. Moving from left sidepull rail, get left foot on spike below rail and right hand on 2mm crescent crimp above bolt. Push off left foot to decent left hand crimp above sidepull rail. Get right foot in dish below bolt and right hand on bad crimp above bolt. Trust the right foot and push to next good right hand, then move left foot up to tiny dish just right of sidepull rail. Then get left hand higher on better holds. Find high right foot on crescent crimp and get a great hold. Continue to anchors.",https://www.mountainproject.com/route/105966922/springer,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",2.6,-1,Lead,Fell/Hung,Sport,,75,2900
2024-08-24,"Jumpin' Ring Snakes",5.9,"Super fun route.",https://www.mountainproject.com/route/105973930/jumpin-ring-snakes,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",3.0,-1,TR,,Trad,,85,2400
2024-08-24,"Flight of the Gumby",5.9+,"Start move and last section are the hardest.",https://www.mountainproject.com/route/105944377/flight-of-the-gumby,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",3.5,-1,Lead,Onsight,Sport,,80,2500
2024-08-24,"The Green Piece",5.10b,"After rest ledge, traverse left and get high right hand to get on top of next ledge. Then get right hand to good crimp  and match with left, get good feet and clip. Then move right hand up to next crimp with another match. Try left hand to good pocket so right hand can hit next good ledge without weird match. Top requires left hand side pull gaston.",https://www.mountainproject.com/route/105944381/the-green-piece,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",2.8,-1,Lead,Fell/Hung,Sport,,,2900
2024-08-24,"The Green Piece",5.10b,,https://www.mountainproject.com/route/105944381/the-green-piece,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",2.8,-1,TR,Fell/Hung,Sport,,,2900
2024-08-24,"Just Another Glitch",5.6,"Does not feel like 5.6. Be prepared for lots of cobwebs.",https://www.mountainproject.com/route/108069966/just-another-glitch,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",1.8,-1,TR,,Trad,,70,1600
2024-08-22,Unforeseen,V1-2,"Top out is very heady with no spotters, couldn&#39;t commit.",https://www.mountainproject.com/route/119775676/unforeseen,1,"Pennsylvania > Southwestern Highlands > Pike Run > Big Block 1",2.0,-1,Attempt,,Boulder,,9,20150
2024-08-22,"3-Layer Cake",V2,"Feels much easier than Unforeseen",https://www.mountainproject.com/route/118831438/3-layer-cake,1,"Pennsylvania > Southwestern Highlands > Pike Run > Big Block 1",2.7,3,Flash,,Boulder,,15,20200
2024-08-22,Slab,5.2,,https://www.mountainproject.com/route/118710856/slab,1,"Pennsylvania > Southwestern Highlands > Pike Run > Right Wall",2.0,-1,Solo,,TR,,35,1200
2024-08-22,"Beginner Route",5.3,,https://www.mountainproject.com/route/118711196/beginner-route,2,"Pennsylvania > Southwestern Highlands > Pike Run > Tenderfoot Wall",2.0,-1,Solo,,TR,,35,1300
2024-08-11,Essence,5.10c,"Use left heel and bump through to good rail. Not sure how to clip the chains.",https://www.mountainproject.com/route/117081063/essence,2,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",3.2,-1,Lead,Fell/Hung,Sport,,35,3200
2024-08-11,"Diggie Diggie Doo",5.8,,https://www.mountainproject.com/route/117657697/diggie-diggie-doo,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",2.3,-1,Follow,,Sport,,60,2100
2024-08-11,Bio-Slab,5.8,,https://www.mountainproject.com/route/106938971/bio-slab,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Top",1.6,-1,Lead,Onsight,Sport,,40,2100
2024-08-11,Cottonmouth,5.10a,"Right hand in left side of the seam below bolt 4 and get high left foot to next slot. Left after last bolt",https://www.mountainproject.com/route/106886454/cottonmouth,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Top",3.3,-1,Lead,Redpoint,Sport,,60,2600
2024-07-06,Superwoman,5.8+,"Really kicks in after bolt 3.",https://www.mountainproject.com/route/112834795/superwoman,1,"West Virginia > Eastern WV > Reeds Creek",2.3,-1,Lead,Onsight,Sport,,35,2200
2024-07-06,Superman,5.7,"Fun for the grade. Watch out for loose rocks in the holds",https://www.mountainproject.com/route/112368654/superman,1,"West Virginia > Eastern WV > Reeds Creek",3.0,3,Lead,Onsight,Sport,,30,1800
2024-07-05,"Critter Crack",5.6,"Awesome climb, need to come back and try not to runout the top section so bad",https://www.mountainproject.com/route/105917534/critter-crack,1,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.4,-1,Lead,Flash,Trad,,80,1600
2024-07-05,"Front C",5.6,,https://www.mountainproject.com/route/105917531/front-c,1,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Follow,,Trad,,50,1600
2024-07-05,"Le Gourmet",5.4,"Pitch 1 & 3",https://www.mountainproject.com/route/106729354/le-gourmet,2,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Follow,,Trad,,285,1400
2024-07-05,"Ecstasy Junior",5.4,"Went under the ledge (scary and long traverse runout) instead of over, have to come back for the true line.",https://www.mountainproject.com/route/106044673/ecstasy-junior,2,"West Virginia > Seneca Rocks > South Peak - West Face > Southwest Corner",2.8,-1,Lead,Flash,Trad,,160,1400
2024-07-04,"East Face to Gunsight Notch",5.0,,https://www.mountainproject.com/route/119703145/east-face-to-gunsight-notch,1,"West Virginia > Seneca Rocks > South Peak - East Face > Upper Broadway",1.5,-1,Lead,Onsight,Trad,,100,1000
2024-07-04,"Skyline Traverse",5.3,"Pitch 2. Definitely want to come back for the lead on this one.",https://www.mountainproject.com/route/105917259/skyline-traverse,1,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",2.9,-1,Follow,,Trad,,,1300
2024-07-04,"Skyline Traverse",5.3,"Pitch 1 & 3. First leads at Seneca.",https://www.mountainproject.com/route/105917259/skyline-traverse,2,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",2.9,-1,Lead,Onsight,Trad,,,1300
2024-07-04,"Gunsight to South Peak",5.4,"Pitch 1. Very airy 5 moves.",https://www.mountainproject.com/route/105924140/gunsight-to-south-peak,1,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.7,-1,Follow,,Trad,,150,1400
2024-07-04,"Gunsight to South Peak",5.4,"Pitch 2. Easy, mostly scrambling.",https://www.mountainproject.com/route/105924140/gunsight-to-south-peak,1,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.7,-1,Lead,Onsight,Trad,,150,1400
2024-06-30,"Corrosion Direct",5.4,"First trad lead >5.0",https://www.mountainproject.com/route/122958641/corrosion-direct,1,"West Virginia > Northern WV > Coopers Rock State Forest > Upper Rock City > Tomb Raider Area > Corrosion Block",2.5,-1,Lead,Flash,TR,,30,1400
2024-06-11,"Conn's West",5.4,"Fun route, 2nd pitch was the crux for me but verrry doable",https://www.mountainproject.com/route/105977724/conns-west,2,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.9,-1,Follow,,Trad,,200,1400
2024-06-08,"Birthday Girl",5.8,,https://www.mountainproject.com/route/119836887/birthday-girl,1,"West Virginia > The New River Gorge Region > Meadow River Gorge > Lower Meadow > 1 Tan Wall",2.8,-1,Lead,Onsight,Sport,,50,2100
2024-06-08,"Covert Ops",5.7,,https://www.mountainproject.com/route/114495761/covert-ops,1,"West Virginia > The New River Gorge Region > Meadow River Gorge > Lower Meadow > 1 Tan Wall",2.5,-1,Lead,Onsight,Sport,,40,1800
2024-06-08,O'Zgrozo,5.9,"Can't see the chains until you are right there.",https://www.mountainproject.com/route/117519481/ozgrozo,1,"West Virginia > The New River Gorge Region > Meadow River Gorge > Upper Meadow > 3. Second Buttress",1.7,-1,Lead,Onsight,Sport,,45,2400
2024-06-08,"Two Eggs and Two Martinis",5.10c,"2nd Attempt. Only ~3 hard moves in a row, followed by a huge jug.",https://www.mountainproject.com/route/120725144/two-eggs-and-two-martinis,1,"West Virginia > The New River Gorge Region > Meadow River Gorge > Upper Meadow > 3. Second Buttress",2.7,-1,Lead,Redpoint,Sport,,60,3200
2024-06-08,"Ikar Lost",5.10c,"Crux move onto sloper rail from 2nd bolt. No left hand jam, sidepull. High right foot on rail to ledge. Rest is butter.",https://www.mountainproject.com/route/112305844/ikar-lost,1,"West Virginia > The New River Gorge Region > Meadow River Gorge > Upper Meadow > 3. Second Buttress",2.7,-1,Lead,Fell/Hung,Sport,,60,3200
2024-06-01,"Crack of Earthly Delights",V1,,https://www.mountainproject.com/route/112522593/crack-of-earthly-delights,1,"West Virginia > Northern WV > Coopers Rock State Forest > Tilted Tree > First Wall > First Wall Left",3.2,3,Flash,,Boulder,,,20100
2024-06-01,"Stink Ray",V4,"Can't hit the big ledge. 2 hands on ledge via left hand side pull.",https://www.mountainproject.com/route/118909191/stink-ray,1,"West Virginia > Northern WV > Coopers Rock State Forest > Tilted Tree > Moby Area > Tier 2 Boulders",3.1,-1,Attempt,,Boulder,,,20400
2024-06-01,Anti-Elvis,V4,,https://www.mountainproject.com/route/112814763/anti-elvis,1,"West Virginia > Northern WV > Coopers Rock State Forest > Tilted Tree > Anti-Elvis Area",3.5,-1,Send,,Boulder,,,20400
2024-06-01,"Always Dry Roof",V2,"Super fun, wish the crack were longer",https://www.mountainproject.com/route/107041802/always-dry-roof,1,"West Virginia > Northern WV > Coopers Rock State Forest > Tilted Tree > Tilted Tree Area > Tilted Tree Corridor",3.5,3,Send,,Boulder,,,20200
2024-06-01,"Big Pocket Problem",V0+,,https://www.mountainproject.com/route/107041781/big-pocket-problem,1,"West Virginia > Northern WV > Coopers Rock State Forest > Tilted Tree > Tilted Tree Area > Tilted Tree Corridor",2.6,-1,Send,,Boulder,,,20010
2024-05-19,"Satisfaction Guaranteed",5.11a/b,"For slab section follow iron crimps to bomber big shelf. Up and left, using left of slot for left hand. Get right foot over before moving into undercling.",https://www.mountainproject.com/route/105918469/satisfaction-guaranteed,1,"West Virginia > The New River Gorge Region > Summersville (Gauley River) Area > Summersville Lake (main) > The Satisfaction Wall",3.8,-1,TR,,Sport,,65,4800
2024-05-18,"She Got the Bosch, I Got Drilled",5.10a,"After first ledge. Up and right, left hand on 3inch step to high right foot then right hand.",https://www.mountainproject.com/route/106002567/she-got-the-bosch-i-got-drilled,1,"West Virginia > The New River Gorge Region > Summersville (Gauley River) Area > Summersville Lake (main) > Orange Oswald Wall",3.2,-1,TR,,Sport,,90,2600
2024-05-18,"Almost Heaven",5.10c,"Bad mental day. Bottom boulder is rough. Top is mental.",https://www.mountainproject.com/route/106848354/almost-heaven,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 5. White Wall",2.4,-1,Lead,Fell/Hung,Sport,,40,3200
2024-05-18,"The Good Old Days",5.9,"One hang, need to find more rests.",https://www.mountainproject.com/route/107792690/the-good-old-days,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 3. Rico Suave Buttress",2.9,-1,Follow,,Trad,,60,2400
2024-05-18,"Second Thoughts",5.9+,"Very fun route.",https://www.mountainproject.com/route/106137047/second-thoughts,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 3. Rico Suave Buttress",2.9,-1,Follow,,Trad,,50,2500
2024-05-18,"Totally Tammy",5.10b,"Use undercling with high left foot to right hand. One hang above the big rail.",https://www.mountainproject.com/route/106019836/totally-tammy,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 3. Rico Suave Buttress",2.2,-1,TR,,Sport,,50,2900
2024-04-28,Fantasy,5.8,"Tons of fun",https://www.mountainproject.com/route/106155521/fantasy,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Endless Wall > M) Fantasy Area",3.6,4,TR,,Trad,,120,2100
2024-04-28,"Tequila Maria",5.10c/d,"Opening sequence is rough when sweaty. Need right foot on good block to reach first jug. Use hidden feet to reach from right hand crack to next feature. Keep calm to top.",https://www.mountainproject.com/route/106386782/tequila-maria,1,"West Virginia > The New River Gorge Region > Summersville (Gauley River) Area > Summersville Lake (main) > The Satisfaction Wall",2.7,-1,TR,,Sport,,60,3400
2024-04-28,"Animal Logic","5.12b V6","Stick clip second. Right knee bar, with left hand on iron crimp jug and right hand undercling w/ sidepull. Right hand bump off close pocket to jug below lip. Match, clip, then right handp to crimp. Right foot on iron band, then throw with right hand to amazing sidepull.",https://www.mountainproject.com/route/105992257/animal-logic,1,"West Virginia > The New River Gorge Region > Summersville (Gauley River) Area > Summersville Lake (main) > DC Memorial Boulder",2.8,-1,Attempt,,"Sport, Boulder",,20,6900
2024-04-27,"Brain Tweezers",5.10c,"Find sequence from 4th clip block to slots. Right hand left with left foot on 4th clip block to left hand sloper side pull, bump to better sidepull. Right foot match, then left foot to crystal. Bring Right hand over to sidepulls, then move Right foot to knob. Left hand up, move up Right foot and get Right hand on chicken head sidepull far Right. Move left to hueco sidepull. Left foot up, then right hand to jug sidepull below anchors. Left foot into hueco, right foot up then left hand above anchors, with 2 fingers in upper pocket to clip.",https://www.mountainproject.com/route/106023161/brain-tweezers,2,"West Virginia > The New River Gorge Region > New River Gorge Proper > Beauty Mountain > 3) The Brain",3.1,-1,Lead,Fell/Hung,Sport,,60,3200
2024-04-27,"Brain Storm",5.8,,https://www.mountainproject.com/route/106831253/brain-storm,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Beauty Mountain > 3) The Brain",2.1,-1,Follow,,Trad,,70,2100
2024-04-27,"Journey to the Center of the Brain",5.7,"First trad follow",https://www.mountainproject.com/route/106660052/journey-to-the-center-of-the-brain,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Beauty Mountain > 3) The Brain",2.3,-1,Follow,,Trad,,50,1800
2024-04-21,Kaleidoscope,V2-,,https://www.mountainproject.com/route/115967002/kaleidoscope,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > First Set Boulders > Air Space Boulder",2.6,3,Send,,Boulder,V2,8,20170
2024-04-21,"Lunar Landing",V7,"Double hand dyno to the jug possible, but incomplete. All other moves done.",https://www.mountainproject.com/route/123938834/lunar-landing,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > Sunset Wall Area > Below the Moon Boulder",3.6,-1,Attempt,,Boulder,,10,20700
2024-04-21,Moonshine,V5-6,"Static to the jug.",https://www.mountainproject.com/route/122430051/moonshine,1,"West Virginia > Northern WV > Coopers Rock State Forest > Roadside > Sunset Wall Area > Moonchild Boulder",3.4,3,Send,,Boulder,,10,20550
2024-03-24,"Drop Zone",V1,,https://www.mountainproject.com/route/124921701/drop-zone,1,"West Virginia > Northern WV > Coopers Rock State Forest > Underlook Trail Boulders > Drop Zone Boulder",3.7,3,Flash,,Boulder,V1+,15,20100
2024-03-24,"Burning Sensation",V4,,https://www.mountainproject.com/route/122966391/burning-sensation,1,"West Virginia > Northern WV > Coopers Rock State Forest > Underlook Trail Boulders > P-Hole Boulder",3.1,3,Send,,Boulder,,12,20400
2024-03-24,Roundhouse,V5,"Fun moves, but overall underwhelming climb ",https://www.mountainproject.com/route/107495169/roundhouse,1,"West Virginia > Northern WV > Coopers Rock State Forest > Upper Rock City > Roundhouse Area > Roundhouse Boulder",3.5,2,Send,,Boulder,,10,20500
2024-03-18,"The Big Much",V4,,https://www.mountainproject.com/route/107327479/the-big-much,1,"Tennessee > Stone Fort > Jungle Gym/ Fromundathunda Area",3.1,-1,Send,,Boulder,,18,20400
2024-03-16,"The Scoop",V3,,https://www.mountainproject.com/route/106036764/the-scoop,1,"Georgia > Rocktown > Back Street Boulders",3.4,-1,Send,,Boulder,,7,20300
2024-03-16,"The Helicopter",V6,"First hold is sharp AF. ",https://www.mountainproject.com/route/106338739/the-helicopter,1,"Georgia > Rocktown > Helicopter Area",3.1,-1,Attempt,,Boulder,,,20600
2024-03-16,"Standard Deviation",V6,"First V6, single session",https://www.mountainproject.com/route/108054353/standard-deviation,1,"Georgia > Rocktown > The Comet Boulder",3.7,-1,Send,,Boulder,,12,20600
2024-03-16,"Fly Dawg",V0,,https://www.mountainproject.com/route/111392207/fly-dawg,1,"Georgia > Rocktown > Orbitals",2.2,-1,Flash,,Boulder,,10,20008
2024-03-16,"Soap on a Rope",V4-5,"Missed the line, go left for the topout. Need high left hand.",https://www.mountainproject.com/route/106036163/soap-on-a-rope,1,"Georgia > Rocktown > Orbitals",3.8,-1,Attempt,,Boulder,,12,20450
2024-03-14,Ribcage,V3,"Basically a 2-3 move problem.",https://www.mountainproject.com/route/106319896/ribcage,1,"Tennessee > Stone Fort > Sternum Area > Sternum Boulder",2.9,-1,Send,,Boulder,,,20300
